StudentID,Earned Points,Possible Points,PercentCorrect,QuizCreated,Stu1,PriKey1,Points1,Stu2,PriKey2,Points2,Stu3,PriKey3,Points3,Stu4,PriKey4,Points4,Stu5,PriKey5,Points5,Stu6,PriKey6,Points6,Stu7,PriKey7,Points7,Stu8,PriKey8,Points8,Stu9,PriKey9,Points9,Stu10,PriKey10,Points10,Stu11,PriKey11,Points11,Stu12,PriKey12,Points12,Stu13,PriKey13,Points13,Stu14,PriKey14,Points14,Stu15,PriKey15,Points15,Stu16,PriKey16,Points16,Stu17,PriKey17,Points17,Stu18,PriKey18,Points18,Stu19,PriKey19,Points19,Stu20,PriKey20,Points20,Stu21,PriKey21,Points21,Stu22,PriKey22,Points22,Stu23,PriKey23,Points23,Stu24,PriKey24,Points24,Stu25,PriKey25,Points25,Stu26,PriKey26,Points26,Stu27,PriKey27,Points27,Stu28,PriKey28,Points28,Stu29,PriKey29,Points29,Stu30,PriKey30,Points30,Stu31,PriKey31,Points31,Stu32,PriKey32,Points32,Stu33,PriKey33,Points33,Stu34,PriKey34,Points34,Stu35,PriKey35,Points35
DL 993032027,23,35,65.71,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,C,A,0,A,D,0,D,A,0,B,B,1,D,D,1,B,B,1,B,A,0,C,B,0,C,C,1,B,D,0,C,C,1,A,A,1,A,A,1,D,A,0,A,C,0,C,C,1,A,A,1,C,B,0,A,A,1,C,C,1,C,C,1,B,B,1,B,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 993032029,19,35,54.29,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,C,A,0,A,D,0,D,A,0,C,B,0,D,D,1,B,B,1,C,A,0,A,B,0,C,C,1,C,D,0,B,C,0,A,A,1,A,A,1,C,A,0,A,C,0,C,C,1,A,A,1,C,B,0,A,A,1,A,C,0,C,C,1,B,B,1,A,D,0,A,A,1,B,B,1,B,D,0,B,B,1
DL 993032030,9,35,25.71,28-02-2020 00:00,D,B,0,C,D,0,C,D,0,B,D,0,D,D,1,B,B,1,A,A,1,,D,0,A,A,1,A,D,0,C,A,0,A,B,0,A,D,0,A,B,0,B,A,0,AB,B,0,,C,0,BD,D,0,A,C,0,A,A,1,A,A,1,,A,0,B,C,0,C,C,1,A,A,1,C,B,0,B,A,0,A,C,0,A,C,0,A,B,0,A,D,0,B,A,0,C,B,0,B,D,0,B,B,1
DL 993032032,22,35,62.86,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,A,A,1,B,D,0,A,A,1,D,D,1,D,A,0,C,B,0,D,D,1,B,B,1,C,A,0,A,B,0,C,C,1,D,D,1,A,C,0,D,A,0,A,A,1,A,A,1,C,C,1,C,C,1,A,A,1,A,B,0,A,A,1,C,C,1,A,C,0,A,B,0,A,D,0,A,A,1,C,B,0,D,D,1,B,B,1
DL 993032035,27,35,77.14,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,A,A,1,C,D,0,B,A,0,B,B,1,C,D,0,B,B,1,C,A,0,B,B,1,C,C,1,D,D,1,C,C,1,A,A,1,A,A,1,D,A,0,D,C,0,C,C,1,A,A,1,C,B,0,A,A,1,C,C,1,C,C,1,B,B,1,D,D,1,A,A,1,B,B,1,D,D,1,B,B,1
DL 993032036,11,35,31.43,28-02-2020 00:00,B,B,1,A,D,0,B,D,0,D,D,1,C,D,0,B,B,1,D,A,0,C,D,0,A,A,1,C,D,0,A,A,1,D,B,0,AD,D,0,A,B,0,A,A,1,C,B,0,C,C,1,D,D,1,C,C,1,C,A,0,,A,0,B,A,0,,C,0,C,C,1,,A,0,,B,0,B,A,0,,C,0,,C,0,D,B,0,,D,0,BD,A,0,B,B,1,B,D,0,CD,B,0
DL 993033002,21,35,60,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,C,D,0,B,B,1,A,A,1,D,D,1,C,A,0,A,D,0,B,A,0,B,B,1,B,D,0,B,B,1,C,A,0,B,B,1,C,C,1,C,D,0,D,C,0,A,A,1,A,A,1,D,A,0,B,C,0,C,C,1,A,A,1,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,B,D,0,A,A,1,B,B,1,D,D,1,A,B,0
DL 993033003,22,35,62.86,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,C,D,0,D,B,0,A,A,1,D,D,1,A,A,1,D,D,1,D,A,0,B,B,1,D,D,1,C,B,0,C,A,0,B,B,1,C,C,1,C,D,0,B,C,0,A,A,1,A,A,1,A,A,1,B,C,0,C,C,1,A,A,1,B,B,1,A,A,1,C,C,1,D,C,0,D,B,0,A,D,0,A,A,1,D,B,0,D,D,1,B,B,1
DL 993033005,26,35,74.29,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,A,A,1,B,D,0,D,A,0,B,B,1,D,D,1,B,B,1,A,A,1,C,B,0,C,C,1,D,D,1,C,C,1,D,A,0,A,A,1,A,A,1,A,C,0,A,C,0,D,A,0,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,B,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 993033006,21,35,60,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,D,A,0,D,D,1,B,A,0,B,B,1,D,D,1,C,B,0,B,A,0,B,B,1,C,C,1,D,D,1,C,C,1,D,A,0,A,A,1,D,A,0,B,C,0,B,C,0,A,A,1,C,B,0,A,A,1,C,C,1,A,C,0,C,B,0,A,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 993033008,34,35,97.14,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,A,A,1,D,D,1,A,A,1,B,B,1,D,D,1,B,B,1,A,A,1,B,B,1,C,C,1,D,D,1,C,C,1,A,A,1,A,A,1,A,A,1,C,C,1,C,C,1,A,A,1,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,D,D,1,A,A,1,B,B,1,D,D,1,B,B,1
DL 993033009,11,35,31.43,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,B,D,0,D,D,1,C,B,0,A,A,1,A,D,0,B,A,0,C,D,0,D,A,0,A,B,0,D,D,1,A,B,0,D,A,0,A,B,0,C,C,1,D,D,1,B,C,0,A,A,1,A,A,1,B,A,0,B,C,0,A,C,0,C,A,0,D,B,0,B,A,0,C,C,1,A,C,0,C,B,0,A,D,0,A,A,1,B,B,1,AD,D,0,D,B,0
DL 993033010,13,35,37.14,28-02-2020 00:00,A,B,0,C,D,0,C,D,0,D,D,1,A,D,0,C,B,0,B,A,0,C,D,0,B,A,0,C,D,0,,A,0,B,B,1,C,D,0,B,B,1,C,A,0,,B,0,C,C,1,D,D,1,B,C,0,A,A,1,A,A,1,B,A,0,B,C,0,C,C,1,D,A,0,D,B,0,A,A,1,B,C,0,C,C,1,A,B,0,B,D,0,A,A,1,,B,0,D,D,1,B,B,1
DL 993033011,18,35,51.43,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,A,A,1,D,D,1,D,A,0,C,D,0,A,A,1,B,B,1,B,D,0,B,B,1,D,A,0,B,B,1,C,C,1,C,D,0,C,C,1,A,A,1,A,A,1,C,A,0,C,C,1,A,C,0,B,A,0,C,B,0,C,A,0,B,C,0,A,C,0,A,B,0,B,D,0,D,A,0,C,B,0,D,D,1,B,B,1
DL 993033012,14,35,40,28-02-2020 00:00,A,B,0,A,D,0,B,D,0,C,D,0,C,D,0,B,B,1,C,A,0,B,D,0,B,A,0,B,D,0,A,A,1,B,B,1,D,D,1,B,B,1,A,A,1,A,B,0,C,C,1,D,D,1,B,C,0,A,A,1,A,A,1,D,A,0,B,C,0,C,C,1,C,A,0,D,B,0,A,A,1,B,C,0,B,C,0,C,B,0,B,D,0,B,A,0,D,B,0,D,D,1,B,B,1
DL 993033013,27,35,77.14,28-02-2020 00:00,B,B,1,C,D,0,D,D,1,D,D,1,D,D,1,B,B,1,B,A,0,D,D,1,C,A,0,A,D,0,B,A,0,B,B,1,D,D,1,B,B,1,A,A,1,D,B,0,C,C,1,D,D,1,C,C,1,A,A,1,A,A,1,A,A,1,B,C,0,C,C,1,D,A,0,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,D,D,1,A,A,1,B,B,1,D,D,1,B,B,1
DL 993033014,19,35,54.29,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,C,B,0,A,A,1,D,D,1,A,A,1,B,D,0,D,A,0,B,B,1,D,D,1,B,B,1,C,A,0,D,B,0,C,C,1,D,D,1,D,C,0,D,A,0,A,A,1,A,A,1,A,C,0,B,C,0,D,A,0,C,B,0,A,A,1,C,C,1,B,C,0,B,B,1,B,D,0,A,A,1,A,B,0,D,D,1,B,B,1
DL 993033016,17,35,48.57,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,C,D,0,C,D,0,C,B,0,A,A,1,D,D,1,A,A,1,A,D,0,D,A,0,D,B,0,D,D,1,B,B,1,D,A,0,D,B,0,C,C,1,C,D,0,C,C,1,A,A,1,A,A,1,A,A,1,A,C,0,C,C,1,C,A,0,B,B,1,B,A,0,C,C,1,B,C,0,A,B,0,D,D,1,A,A,1,D,B,0,D,D,1,A,B,0
DL 993033017,16,35,45.71,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,C,D,0,C,D,0,A,B,0,C,A,0,B,D,0,A,A,1,B,D,0,D,A,0,B,B,1,D,D,1,A,B,0,A,A,1,C,B,0,C,C,1,D,D,1,A,C,0,A,A,1,A,A,1,B,A,0,B,C,0,C,C,1,C,A,0,C,B,0,A,A,1,B,C,0,A,C,0,B,B,1,A,D,0,A,A,1,B,B,1,D,D,1,B,B,1
DL 993033018,15,35,42.86,28-02-2020 00:00,B,B,1,,D,0,C,D,0,BD,D,0,D,D,1,B,B,1,A,A,1,B,D,0,D,A,0,C,D,0,A,A,1,B,B,1,D,D,1,C,B,0,D,A,0,D,B,0,C,C,1,A,D,0,A,C,0,A,A,1,B,A,0,D,A,0,B,C,0,D,C,0,A,A,1,B,B,1,D,A,0,B,C,0,A,C,0,B,B,1,B,D,0,A,A,1,C,B,0,D,D,1,B,B,1
DL 993033021,11,35,31.43,28-02-2020 00:00,A,B,0,C,D,0,C,D,0,A,D,0,C,D,0,B,B,1,A,A,1,A,D,0,A,A,1,A,D,0,D,A,0,D,B,0,D,D,1,A,B,0,C,A,0,D,B,0,C,C,1,D,D,1,A,C,0,A,A,1,A,A,1,B,A,0,B,C,0,C,C,1,B,A,0,C,B,0,B,A,0,B,C,0,B,C,0,A,B,0,A,D,0,A,A,1,A,B,0,D,D,1,D,B,0
DL 993033023,15,35,42.86,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,D,D,1,B,B,1,C,A,0,D,D,1,B,A,0,D,D,1,D,A,0,,B,0,,D,0,D,B,0,B,A,0,C,B,0,A,C,0,A,D,0,C,C,1,A,A,1,A,A,1,B,A,0,B,C,0,C,C,1,A,A,1,A,B,0,A,A,1,A,C,0,A,C,0,A,B,0,C,D,0,A,A,1,A,B,0,D,D,1,B,B,1
DL 993033024,19,35,54.29,28-02-2020 00:00,B,B,1,C,D,0,C,D,0,D,D,1,C,D,0,B,B,1,D,A,0,D,D,1,A,A,1,A,D,0,D,A,0,D,B,0,C,D,0,D,B,0,C,A,0,B,B,1,C,C,1,A,D,0,B,C,0,A,A,1,A,A,1,D,A,0,A,C,0,C,C,1,A,A,1,B,B,1,A,A,1,C,C,1,C,C,1,B,B,1,D,D,1,A,A,1,A,B,0,D,D,1,,B,0
